time,roll_force_duo,roll_force_f1,roll_force_f2,roll_force_f3,roll_force_f4,roll_torque_duo,roll_torque_f1,roll_torque_f2,roll_torque_f3,roll_torque_f4,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8
2022-10-20T13:04:44.766000,0.4053951,-6.05142,-6.35631,-4.26344,-2.1732,0.585938,0.0118361,0.0149045,-0.0170963,0.0123699,670.0,670.091,670.0,599.913,669.909,600.087,670.091,600.0
2022-10-20T13:04:44.768000,0.5753174000000001,-6.01477,-6.35631,-4.23628,-2.08073,0.644531,0.00964403,0.0127127,-0.0149045,0.0133464,670.0,670.0,669.909,600.0,670.0,600.087,670.0,600.0
2022-10-20T13:04:44.770000,0.08013809999999999,-6.01477,-6.35631,-4.23628,-2.21945,0.61198,0.0100825,0.0149045,-0.0162196,0.0130208,670.0,670.0,670.456,600.0,670.0,600.087,670.0,600.0
2022-10-20T13:04:44.772000,0.2648308999999999,-5.94141,-6.38507,-4.23628,-2.15009,0.625,0.0100825,0.0149045,-0.015343,0.0123699,670.0,670.0,670.0,600.174,669.909,600.0,670.0,599.913
2022-10-20T13:04:44.774000,0.2564086,-6.05142,-6.32755,-4.2906,-2.21945,0.61198,0.00964403,0.0131509,-0.014466,0.0133464,670.0,670.091,670.0,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.776000,0.34228549999999996,-5.97809,-6.32755,-4.23628,-2.21945,0.572918,0.00745225,0.0135894,-0.015343,0.0123699,670.0,670.091,670.091,599.913,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.778000,0.497742,-5.94141,-6.35631,-4.26344,-2.1732,0.631512,0.00876737,0.015343,-0.0162196,0.0126953,670.0,670.091,670.0,599.826,669.909,600.174,670.091,600.0
2022-10-20T13:04:44.780000,0.4865725,-6.01477,-6.35631,-4.26344,-2.1732,0.572918,0.0105209,0.015343,-0.015343,0.0130208,670.0,670.0,670.0,599.913,670.0,600.087,670.091,600.0
2022-10-20T13:04:44.782000,0.40722659999999994,-5.97809,-6.32755,-4.20912,-2.1732,0.585938,0.0122743,0.014466,-0.0166581,0.0130208,670.0,670.0,670.0,600.0,670.091,600.0,669.909,600.0
2022-10-20T13:04:44.784000,0.80572,-5.94141,-6.35631,-4.12766,-2.15009,0.61198,0.00876737,0.0149045,-0.0170963,0.0126953,670.0,670.0,670.091,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.786000,0.80572,-5.94141,-6.35631,-4.12766,-2.15009,0.61198,0.00876737,0.0149045,-0.0170963,0.0126953,670.0,670.0,670.091,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.788000,0.47821040000000004,-6.01477,-6.32755,-4.23628,-2.15009,0.61198,0.00964403,0.0127127,-0.0175347,0.0126953,670.0,670.0,670.0,600.0,669.909,600.0,670.0,600.0
2022-10-20T13:04:44.790000,0.4208984999999999,-6.01477,-6.38507,-4.20912,-2.19632,0.61198,0.00964403,0.0162196,-0.0157812,0.0126953,670.0,670.0,670.0,600.0,669.909,600.087,670.091,600.087
2022-10-20T13:04:44.792000,0.5644525999999999,-6.01477,-6.35631,-4.26344,-2.15009,0.63802,0.0100825,0.015343,-0.0157812,0.0130208,670.0,670.0,670.0,600.0,670.365,600.087,670.091,600.087
2022-10-20T13:04:44.794000,0.4244994000000001,-6.01477,-6.35631,-4.26344,-2.1732,0.605469,0.0100825,0.015343,-0.0175347,0.0120442,670.0,670.0,670.0,600.0,670.0,600.174,670.091,600.0
2022-10-20T13:04:44.796000,0.425659,-6.01477,-6.35631,-4.23628,-2.1732,0.585938,0.0109591,0.0135894,-0.0175347,0.0120442,670.0,670.0,670.0,600.0,670.0,600.087,670.0,600.0
2022-10-20T13:04:44.798000,0.27630699999999997,-6.01477,-6.38507,-4.23628,-2.1732,0.618488,0.0078907,0.0157812,-0.015343,0.0133464,670.091,670.0,670.091,600.0,670.0,600.0,670.0,600.0
2022-10-20T13:04:44.800000,0.329712,-6.01477,-6.38507,-4.26344,-2.1732,0.566406,0.00964403,0.0105209,-0.0157812,0.0130208,670.091,670.0,670.0,600.0,670.0,599.913,670.0,600.0
2022-10-20T13:04:44.802000,0.8176223999999999,-5.97809,-6.38507,-4.20912,-2.19632,0.644531,0.0100825,0.014466,-0.0184114,0.0130208,670.091,670.091,670.0,600.087,670.0,600.0,670.091,600.0
2022-10-20T13:04:44.804000,0.49304149999999985,-6.01477,-6.38507,-4.23628,-2.21945,0.625,0.0105209,0.0140278,-0.0157812,0.0133464,670.0,670.0,670.0,600.0,670.0,600.26,670.182,600.087
2022-10-20T13:04:44.806000,0.654968,-5.97809,-6.38507,-4.20912,-2.19632,0.61198,0.00920582,0.0131509,-0.0170963,0.0123699,669.909,670.0,670.0,600.0,669.909,600.0,670.182,600.0
2022-10-20T13:04:44.808000,0.7271110000000001,-6.01477,-6.38507,-4.26344,-2.19632,0.579426,0.00964403,0.0140278,-0.0162196,0.0126953,670.0,670.0,670.0,600.0,670.091,600.087,670.091,600.0
2022-10-20T13:04:44.810000,0.569885,-6.05142,-6.35631,-4.23628,-2.19632,0.644531,0.00920582,0.0135894,-0.015343,0.0123699,670.091,670.091,670.0,600.0,670.0,600.087,670.0,600.0
2022-10-20T13:04:44.812000,0.569885,-6.05142,-6.35631,-4.23628,-2.19632,0.644531,0.00920582,0.0135894,-0.015343,0.0123699,670.091,670.091,670.0,600.0,670.0,600.087,670.0,600.0
2022-10-20T13:04:44.814000,0.5788525999999998,-6.01477,-6.38507,-4.26344,-2.19632,0.625,0.0078907,0.015343,-0.015343,0.0120442,670.091,670.0,670.0,600.0,670.0,600.087,670.091,600.0
2022-10-20T13:04:44.816000,0.497742,-5.97809,-6.35631,-4.2906,-2.24257,0.625,0.00964403,0.014466,-0.015343,0.0133464,670.091,670.0,670.0,600.0,670.0,600.087,670.273,600.087
2022-10-20T13:04:44.818000,0.5900828999999999,-5.97809,-6.29878,-4.20912,-2.26569,0.566406,0.0100825,0.0162196,-0.0162196,0.0133464,670.0,670.0,670.0,600.0,669.909,600.0,670.091,600.174
2022-10-20T13:04:44.820000,0.7271110000000001,-6.05142,-6.35631,-4.23628,-2.19632,0.63802,0.0100825,0.0118361,-0.0166581,0.0130208,670.0,670.0,670.0,600.0,670.0,600.0,670.0,600.174
2022-10-20T13:04:44.822000,0.9583175000000002,-6.01477,-6.35631,-4.26344,-2.1732,0.598957,0.0100825,0.0162196,-0.0157812,0.0126953,670.0,670.0,670.0,600.0,669.909,600.0,670.091,600.087
2022-10-20T13:04:44.824000,0.648498,-5.97809,-6.32755,-4.23628,-2.19632,0.61198,0.0078907,0.0140278,-0.0170963,0.0136719,670.0,670.091,670.0,600.0,669.909,600.087,670.0,599.826
2022-10-20T13:04:44.826000,0.329712,-6.01477,-6.24126,-4.18198,-2.19632,0.605469,0.00964403,0.015343,-0.0157812,0.0133464,670.0,670.091,670.0,600.0,669.909,600.0,670.091,599.913
2022-10-20T13:04:44.828000,0.5460814,-6.05142,-6.35631,-4.23628,-2.21945,0.579426,0.0100825,0.0118361,-0.0149045,0.0130208,670.091,670.0,669.909,599.913,670.0,600.087,670.091,600.174
2022-10-20T13:04:44.830000,0.6961055,-6.05142,-6.38507,-4.20912,-2.21945,0.61198,0.00964403,0.0149045,-0.015343,0.0133464,670.0,669.909,669.909,600.0,670.0,600.0,670.0,600.087
2022-10-20T13:04:44.832000,0.2564086,-6.05142,-6.38507,-4.23628,-2.19632,0.625,0.0118361,0.0127127,-0.0162196,0.0130208,669.909,670.0,670.0,600.0,670.0,600.0,670.091,600.0
2022-10-20T13:04:44.834000,0.48046799999999995,-6.05142,-6.35631,-4.26344,-2.1732,0.625,0.0100825,0.0135894,-0.014466,0.0133464,669.909,670.091,670.0,600.0,669.909,600.087,670.0,600.087
2022-10-20T13:04:44.836000,0.425659,-6.05142,-6.41383,-4.23628,-2.24257,0.644531,0.00876737,0.0157812,-0.0166581,0.0133464,670.0,670.091,670.0,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.838000,0.25042709999999996,-6.01477,-6.35631,-4.26344,-2.19632,0.559895,0.0100825,0.0157812,-0.0157812,0.0126953,670.273,670.182,670.0,600.0,669.909,600.0,670.091,600.0
2022-10-20T13:04:44.840000,0.42706299999999997,-5.94141,-6.35631,-4.26344,-2.19632,0.644531,0.00876737,0.015343,-0.0184114,0.0136719,670.0,670.182,669.909,599.913,669.909,600.0,670.0,600.0
2022-10-20T13:04:44.842000,0.7390133999999999,-5.94141,-6.35631,-4.20912,-2.24257,0.631512,0.0100825,0.0140278,-0.0170963,0.0136719,670.091,669.909,669.909,600.0,670.0,600.0,670.0,599.913
2022-10-20T13:04:44.844000,0.24456700000000003,-6.01477,-6.41383,-4.26344,-2.19632,0.631512,0.00920582,0.015343,-0.015343,0.0136719,670.0,670.0,670.0,600.087,670.0,600.0,670.091,600.087
2022-10-20T13:04:44.846000,0.24456700000000003,-6.01477,-6.41383,-4.26344,-2.19632,0.631512,0.00920582,0.015343,-0.015343,0.0136719,670.0,670.0,670.0,600.087,670.0,600.0,670.091,600.087
